plot_id;env;trial;check;gtyp_id;gtyp;block;trial_block;year;trialtype;Ys
1;Env_9;1;0;1;120009;1;1_1;2021;PRYT;2,29424E+14
2;Env_9;1;0;2;119881;1;1_1;2021;PRYT;1,06948E+14
3;Env_9;1;0;3;119888;1;1_1;2021;PRYT;1,85976E+14
4;Env_9;1;0;4;120007;1;1_1;2021;PRYT;2,49607E+14
5;Env_9;1;0;5;119724;1;1_1;2021;PRYT;5,15178E+14
6;Env_9;1;0;6;119564;1;1_1;2021;PRYT;2,30027E+13
7;Env_9;1;0;7;119735;1;1_1;2021;PRYT;1,60593E+14
8;Env_9;1;0;8;119728;1;1_1;2021;PRYT;1,42483E+13
9;Env_9;1;0;9;119539;1;1_1;2021;PRYT;1,69118E+13
10;Env_9;1;0;10;119917;1;1_1;2021;PRYT;1,49805E+14
11;Env_9;1;0;11;120002;1;1_1;2021;PRYT;1,95461E+14
12;Env_9;1;0;12;119833;1;1_1;2021;PRYT;9,72784E+14
13;Env_9;1;0;13;119546;1;1_1;2021;PRYT;2,19305E+14
14;Env_9;1;0;14;119914;1;1_1;2021;PRYT;1,14275E+14
15;Env_9;1;0;15;119903;1;1_1;2021;PRYT;1,5562E+13
16;Env_9;1;0;16;119884;1;1_1;2021;PRYT;1,64506E+14
17;Env_9;1;0;17;120013;1;1_1;2021;PRYT;2,30404E+14
18;Env_9;1;0;18;119470;1;1_1;2021;PRYT;8,44724E+14
19;Env_9;1;0;19;119905;1;1_1;2021;PRYT;1,34522E+14
20;Env_9;1;0;20;119993;1;1_1;2021;PRYT;9,78286E+14
21;Env_9;1;0;21;119880;1;1_1;2021;PRYT;1,5271E+14
22;Env_9;1;0;22;119544;1;1_1;2021;PRYT;1,26252E+14
23;Env_9;1;0;23;120018;1;1_1;2021;PRYT;1,69211E+14
24;Env_9;1;0;24;119709;1;1_1;2021;PRYT;2,13229E+14
25;Env_9;1;0;25;120017;1;1_1;2021;PRYT;2,82067E+12
26;Env_9;1;0;26;120001;1;1_1;2021;PRYT;1,79078E+13
27;Env_9;1;0;27;119835;1;1_1;2021;PRYT;2,13445E+13
28;Env_9;1;0;28;119548;1;1_1;2021;PRYT;2,04972E+14
29;Env_9;1;0;29;120014;1;1_1;2021;PRYT;2,66303E+14
30;Env_9;1;0;30;119899;1;1_1;2021;PRYT;9,4357E+14
31;Env_9;1;0;31;119558;1;1_1;2021;PRYT;2,54954E+14
32;Env_9;1;0;32;119552;1;1_1;2021;PRYT;1,14615E+14
33;Env_9;1;0;33;120090;1;1_1;2021;PRYT;1,25799E+14
34;Env_9;1;0;34;119883;1;1_1;2021;PRYT;1,6006E+13
35;Env_9;1;0;35;119984;1;1_1;2021;PRYT;1,15587E+14
36;Env_9;1;0;36;119894;1;1_1;2021;PRYT;1,68222E+14
37;Env_9;1;0;37;119908;1;1_1;2021;PRYT;1,26375E+14
